

[4]:22 6 27 周一 10:10:04
XRPUSDT
样本数:500 总匹配量:500 百分比:1
prev_weight:4, max_weight:3, price_weight:3, close_weight:3, volume_weight:2, need_weight:35, similar_range:0.1, similar_val:0.005, need_count:150, RATE_DELTA:0.05, E_DELTA:0.0001, 
优质数:220	正确率:62.273%	交易期望:0.101%

18006 num:21934 	3-e涨幅:0.013% e涨率:55.772% 	True:0.463%
18016 num:7756 	1-e涨幅:0.023% e涨率:55.405% 	False:-0.084%
18016 num:7756 	2-e涨幅:0.027% e涨率:57.787% 	False:-0.084%
18016 num:7756 	3-e涨幅:0.025% e涨率:57.124% 	True:0.127%
18017 num:16598 	2-e涨幅:0.017% e涨率:55.992% 	True:0.211%
18017 num:16598 	3-e涨幅:0.021% e涨率:56.222% 	False:-0.168%
18018 num:18392 	3-e涨幅:0.015% e涨率:55.946% 	True:0.043%
18020 num:17169 	2-e涨幅:0.02% e涨率:56.586% 	True:0.296%
18020 num:17169 	3-e涨幅:0.023% e涨率:57.535% 	False:-0.126%
18023 num:14475 	2-e涨幅:0.022% e涨率:57.164% 	True:0.254%
18023 num:14475 	3-e涨幅:0.025% e涨率:57.822% 	True:0.296%
18027 num:1977 	1-e涨幅:0.048% e涨率:59.998% 	False:-0.128%
18027 num:1977 	2-e涨幅:0.074% e涨率:62.718% 	True:0.256%
18027 num:1977 	3-e涨幅:0.074% e涨率:61.817% 	True:0.213%
18028 num:1890 	1-e涨幅:0.034% e涨率:58.821% 	True:0.383%
18028 num:1890 	2-e涨幅:0.041% e涨率:59.417% 	True:0.341%
18028 num:1890 	3-e涨幅:0.051% e涨率:58.172% 	True:0.298%
18031 num:11308 	2-e涨幅:0.011% e涨率:55.634% 	True:0.34%
18031 num:11308 	3-e涨幅:0.014% e涨率:56.657% 	True:0.001%
18034 num:19734 	2-e涨幅:0.011% e涨率:55.578% 	True:0.341%
18034 num:19734 	3-e涨幅:0.014% e涨率:56.572% 	True:0.426%
18038 num:25845 	3-e涨幅:0.012% e涨率:55.19% 	True:0.086%
18040 num:12120 	2-e涨幅:0.016% e涨率:56.713% 	True:0.638%
18040 num:12120 	3-e涨幅:0.022% e涨率:57.144% 	True:0.68%
18080 num:6203 	1-e涨幅:0.028% e涨率:57.028% 	True:0.213%
18080 num:6203 	2-e涨幅:0.039% e涨率:59.237% 	True:0.043%
18080 num:6203 	3-e涨幅:0.039% e涨率:59.033% 	True:0.043%
18081 num:21703 	2-e涨幅:0.012% e涨率:55.249% 	False:-0.17%
18081 num:21703 	3-e涨幅:0.017% e涨率:56.045% 	False:-0.298%
18082 num:12705 	2-e涨幅:0.016% e涨率:56.6% 	False:-0.128%
18082 num:12705 	3-e涨幅:0.023% e涨率:57.421% 	True:0.085%
18083 num:22218 	3-e涨幅:0.012% e涨率:56.132% 	True:0.17%
18084 num:22022 	2-e涨幅:0.012% e涨率:55.566% 	True:0.298%
18084 num:22022 	3-e涨幅:0.017% e涨率:56.605% 	True:0.34%
18088 num:12190 	2-e涨幅:0.028% e涨率:58.178% 	True:0.597%
18088 num:12190 	3-e涨幅:0.034% e涨率:58.54% 	True:0.725%
18094 num:10498 	3-e涨幅:0.012% e涨率:55.187% 	False:-0.942%
18095 num:10944 	2-e涨幅:0.011% e涨率:55.638% 	False:-0.771%
18095 num:10944 	3-e涨幅:0.017% e涨率:56.281% 	False:-0.815%
18096 num:3861 	1-e涨幅:0.03% e涨率:58.035% 	False:-0.258%
18096 num:3861 	2-e涨幅:0.042% e涨率:60.172% 	False:-0.301%
18096 num:3861 	3-e涨幅:0.048% e涨率:59.651% 	True:0.302%
18097 num:3197 	1-e涨幅:0.03% e涨率:58.164% 	False:-0.043%
18097 num:3197 	2-e涨幅:0.038% e涨率:59.39% 	True:0.56%
18097 num:3197 	3-e涨幅:0.053% e涨率:59.001% 	True:0.989%
18098 num:5268 	1-e涨幅:0.017% e涨率:56.089% 	True:0.603%
18098 num:5268 	2-e涨幅:0.029% e涨率:58.683% 	True:1.032%
18098 num:5268 	3-e涨幅:0.049% e涨率:60.397% 	True:0.989%
18103 num:10622 	2-e涨幅:0.016% e涨率:56.323% 	False:-0.171%
18103 num:10622 	3-e涨幅:0.019% e涨率:56.194% 	False:-0.343%
18105 num:23220 	3-e涨幅:0.013% e涨率:55.579% 	False:-0.516%
